B15003_022E,B15002_001E,tract,TRACTCE,nbhd_name
406,1078,003101,003101,"City Park West"
992,2384,003300,003300,"Congress Park"
1296,3785,004103,004103,"North Park Hill"
722,2005,003703,003703,"Congress Park"
403,2591,004403,004403,"East Colfax"
1556,3943,001701,001701,"Union Station"
544,1611,000501,000501,"Sloan Lake"
1865,5356,001600,001600,"Five Points"
1004,3268,002300,002300,Whittier
1142,3255,004301,004301,Hale
730,2804,004104,004104,"North Park Hill"
334,2520,000701,000701,"West Colfax"
754,2288,003102,003102,"City Park West"
644,2430,002403,002403,"Five Points"
510,3413,000702,000702,"West Colfax"
1802,4430,002702,002702,"Capitol Hill"
598,2107,001702,001702,CBD
580,2231,001800,001800,"Lincoln Park"
1638,4068,002703,002703,"Capitol Hill"
756,2365,002601,002601,"North Capitol Hill"
466,1608,000600,000600,"Jefferson Park"
19,495,000800,000800,"Sun Valley"
919,2182,003701,003701,"City Park"
1410,3343,003702,003702,"Congress Park"
1401,4199,004304,004304,Montclair
961,1842,002602,002602,"North Capitol Hill"
1438,3400,002701,002701,"Capitol Hill"
1212,4019,000502,000502,"Sloan Lake"
389,1266,002402,002402,"Five Points"
813,2479,003603,003603,Skyland
281,2777,000904,000904,"Villa Park"
161,2068,000905,000905,"Villa Park"
402,1463,002000,002000,"Civic Center"
863,2696,003202,003202,"Cheesman Park"
2173,4319,003201,003201,"Cheesman Park"
1123,3280,004201,004201,"South Park Hill"
864,2544,004202,004202,"South Park Hill"
1241,3376,004306,004306,"Lowry Field"
757,3452,004404,004404,"East Colfax"
1904,5224,004405,004405,"Lowry Field"
706,1854,004302,004302,Hale
